53, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
54, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
55, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
56, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
57, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
58, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
59, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
60, faces 1, eq_adaptive 0, eq_contrast 0, eq_brightness 1, eq_contrast_brightness 0, alt 1, gs_alt 2
61, faces 1, eq_adaptive 0, eq_contrast 0, eq_brightness 1, eq_contrast_brightness 0, alt 1, gs_alt 1
62, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
63, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
64, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
65, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
66, faces 1, eq_adaptive 0, eq_contrast 0, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 2
67, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 1
68, faces 1, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
69, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 0
70, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 0
71, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
72, faces 0, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
73, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 2
74, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
75, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
76, faces 0, eq_adaptive 1, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
77, faces 0, eq_adaptive 1, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 2
78, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 2, gs_alt 2
79, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 2, gs_alt 2
80, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 1
81, faces 0, eq_adaptive 0, eq_contrast 1, eq_brightness 0, eq_contrast_brightness 1, alt 1, gs_alt 1
82, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 2, gs_alt 2
83, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 2
84, faces 0, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 0, alt 1, gs_alt 1
85, faces 1, eq_adaptive 1, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
86, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
87, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 2
88, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
89, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 3, gs_alt 2
90, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 3, gs_alt 2
91, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 0
92, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 0
93, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 0
94, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
95, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
96, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
97, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
98, faces 0, eq_adaptive 0, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 0, alt 1, gs_alt 1
99, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
100, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
101, faces 1, eq_adaptive 1, eq_contrast 0, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
102, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
103, faces 0, eq_adaptive 0, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 0, alt 1, gs_alt 1
faces 43, brightness 48, contrast 43, adaptive 43, contrast brightness 39, alt 107, alt_gs 111
faces time 30.447583437, brightness time 22.4915950298, contrast time 22.0168337822, adaptive time 22.5930566788 contrast brightness 23.0568268299 alt time 70.6874318123 alt_gs time 76.002641201
